RATCAT_C,IMPNUM_C,IMPINCFLG_C,RECTYPE,POVRATTC_C,HHX
14,1,0,40,5.13,H025636
14,2,0,40,5.13,H025636
14,3,0,40,5.13,H025636
14,4,0,40,5.13,H025636
14,5,0,40,5.13,H025636
14,6,0,40,5.13,H025636
14,7,0,40,5.13,H025636
14,8,0,40,5.13,H025636
14,9,0,40,5.13,H025636
14,10,0,40,5.13,H025636
7,1,0,40,1.96,H018455
7,2,0,40,1.96,H018455
7,3,0,40,1.96,H018455
7,4,0,40,1.96,H018455
7,5,0,40,1.96,H018455
7,6,0,40,1.96,H018455
7,7,0,40,1.96,H018455
7,8,0,40,1.96,H018455
7,9,0,40,1.96,H018455
7,10,0,40,1.96,H018455
14,1,0,40,7.20,H047222
14,2,0,40,7.20,H047222
14,3,0,40,7.20,H047222
14,4,0,40,7.20,H047222
14,5,0,40,7.20,H047222
14,6,0,40,7.20,H047222
14,7,0,40,7.20,H047222
14,8,0,40,7.20,H047222
14,9,0,40,7.20,H047222
14,10,0,40,7.20,H047222
13,1,0,40,4.85,H020084
13,2,0,40,4.85,H020084
13,3,0,40,4.85,H020084
13,4,0,40,4.85,H020084
13,5,0,40,4.85,H020084
13,6,0,40,4.85,H020084
13,7,0,40,4.85,H020084
13,8,0,40,4.85,H020084
13,9,0,40,4.85,H020084
13,10,0,40,4.85,H020084
4,1,0,40,1.10,H046058
4,2,0,40,1.10,H046058
4,3,0,40,1.10,H046058
4,4,0,40,1.10,H046058
4,5,0,40,1.10,H046058
4,6,0,40,1.10,H046058
4,7,0,40,1.10,H046058
4,8,0,40,1.10,H046058
4,9,0,40,1.10,H046058
4,10,0,40,1.10,H046058
5,1,0,40,1.39,H019593
5,2,0,40,1.39,H019593
5,3,0,40,1.39,H019593
5,4,0,40,1.39,H019593
5,5,0,40,1.39,H019593
5,6,0,40,1.39,H019593
5,7,0,40,1.39,H019593
5,8,0,40,1.39,H019593
5,9,0,40,1.39,H019593
5,10,0,40,1.39,H019593
2,1,0,40,0.73,H047973
2,2,0,40,0.73,H047973
2,3,0,40,0.73,H047973
2,4,0,40,0.73,H047973
2,5,0,40,0.73,H047973
2,6,0,40,0.73,H047973
2,7,0,40,0.73,H047973
2,8,0,40,0.73,H047973
2,9,0,40,0.73,H047973
2,10,0,40,0.73,H047973
14,1,0,40,6.24,H050208
14,2,0,40,6.24,H050208
14,3,0,40,6.24,H050208
14,4,0,40,6.24,H050208
14,5,0,40,6.24,H050208
14,6,0,40,6.24,H050208
14,7,0,40,6.24,H050208
14,8,0,40,6.24,H050208
